"Entity[572875] Report(B000001[00000])", ,"Entity[572875] Report(B000001[00200])", ,"Entity[572875] Report(B000001[00400])", ,"Entity[572875] Report(B000001[00600])","Entity[572875] Report(B000001[00700])","Entity[572875] Report(B000001[00800])","Entity[572875] Report(B000001[00900])","Entity[572875] Report(B000001[01000])","Entity[572875] Report(B000001[01100])", ,"Entity[572875] Report(B000001[01300])","Entity[572875] Report(B000001[01400])","Entity[572875] Report(B000001[01500])","Entity[572875] Report(B000001[01600])","Entity[572875] Report(B000001[01700])","Entity[572875] Report(B000001[01800])", ,"Entity[572875] Report(B000001[02000])", , ,"Entity[572875] Report(B000001[02300])","Entity[572875] Report(B000001[02400])","Entity[572875] Report(B000001[02500])","Entity[572875] Report(B000001[02600])"
"Entity[572875] Report(B000002[00000])", ,"Entity[572875] Report(B000002[00200])", ,"Entity[572875] Report(B000002[00400])", ,"Entity[572875] Report(B000002[00600])","Entity[572875] Report(B000002[00700])","Entity[572875] Report(B000002[00800])","Entity[572875] Report(B000002[00900])","Entity[572875] Report(B000002[01000])","Entity[572875] Report(B000002[01100])", ,"Entity[572875] Report(B000002[01300])","Entity[572875] Report(B000002[01400])","Entity[572875] Report(B000002[01500])","Entity[572875] Report(B000002[01600])","Entity[572875] Report(B000002[01700])","Entity[572875] Report(B000002[01800])", ,"Entity[572875] Report(B000002[02000])", , ,"Entity[572875] Report(B000002[02300])","Entity[572875] Report(B000002[02400])", ,"Entity[572875] Report(B000002[02600])"
"1314215", ,"284", ,"1323813", , , , , , , , , , , , , , , 
"3861804", ,"5110004", ,"808", , , , , , , , , , , , , , , 
"170578", ,"905075", ,"4981", , , , , , , , , , , , , , , 
 , ,"22772", ,"18305", , , , , , , , , , , , , , , 
"3224809", ,"118381", ,"32583", , , , , , , , , , , , , , , 
"21782765", ,"531120", ,"47892", , , , , , , , , , , , , , , 
"485947", ,"4571665", ,"24244", ,"7131564", , , , , , , , , , , , , 
 , ,"19855", ,"1379", ,"4185", , , , , , , , , , , , , 
"284774", , , , , , , , , , , , , , , , , , , 
 , ,"55891", ,"11797", ,"23249", , , , , , , , , , , , , 
 , ,"30747", ,"1337", , , , , , , , , , , , , , , 
 , ,"9455", ,"783", ,"7331","76871", , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , ,"4660", ,"1069", ,"4922","53","110814", , , , , , , , , , , 
"23924", ,"362402", ,"22262", ,"59947","536", ,"1382415", , , , , , , , , , 
"8866", ,"207850", ,"25353", ,"176715","1907", ,"33824","2600484", , , , , , , , , 
 , , , , , , , , , ,"1956529","1956529", , , , , , , , 
"110400", ,"6454829", ,"20077", ,"51382","554", ,"9835", ,"20661", ,"7764404", , , , , , 
 , ,"108756", ,"10122", , , , , , ,"20062", , ,"322943", , , , , 
 , ,"157381", ,"1465", ,"10463","113", ,"2003", ,"1797", , , , , , , , 
 , ,"13637", ,"1472", ,"202","2", ,"39", ,"3743", , , , , , , , 
 , ,"1584891", ,"28927", ,"15632","216","6","2992", ,"39077", , ,"1749","4324984", , , , 
"630877", ,"107062", ,"8439", ,"95250","1028", ,"18231", ,"16918", , , , ,"1515050", , , 
"1525", , , ,"8217", ,"18754","202", ,"3590", ,"12576", , , , , ,"373214", , 
 , ,"246", ,"7193", ,"19491","210","1","3731", ,"6887", ,"87288","329", , , ,"510693", 
"2149489", ,"2918996", ,"53547", ,"243276","2812","77","53089", ,"51803", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , ,"17790"
"103855", ,"36153", ,"44403", ,"5438","78","317","1388", ,"133400", , , , , , , , 
 , , , ,"6241", ,"1812", , , , , , , , , , , , , 
 , , , ,"3180", , , , , , , , , , , , , , , 
 , , , ,"138", , , , , , , , , , , , , , , 
 , ,"55119", ,"35516", , , , , , , , , , , , , , , 
 , , , ,"44", , , , , , , , , , , , , , , 
 , , , ,"336", , , , , , , , , , , , , , , 
 , , , ,"597", , , , , , , , , , , , , , , 
 , , , ,"188", , , , , , , , , , , , , , , 
 , , , ,"325", , , , , , ,"599", , , , , , , , , , , ,"5152"
 , , , ,"378", , , , , , ,"1647", , , , , , , , 
 , , , ,"374", , , , , , ,"299", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"432", , , , , , ,"599", , , , , , , , 
 , , , ,"244", , , , , , ,"449", , , , , , , , 
 , ,"3819790", ,"221841", ,"653674","7054","47616","80782","494792","306924", ,"3734765","6671", ,"578750","152950","121639", , , , , ,"26520684", ,"26520684"
 , ,"1444", ,"14862", , , ,"2574", ,"8842","16319", ,"226376","3704", ,"14241","14070","14157", , , , , ,"668220", ,"668220"
 , ,"42617", ,"9142", ,"25694","277","1423","3284","6812","10780", ,"148279","2177", ,"11969","7670","7600", , , , , ,"749402", ,"749402"
 , , , ,"831", ,"8188","88","1382","767","4646","1198", ,"5072","4871", ,"5303","3862","3866", , , , , ,"167929", ,"167929"
 , , , ,"10858", ,"53520","578","1309","6918","3908","12277", ,"172792","4640", ,"11363","6345","10424", , , , , ,"1184792", ,"1184792"
 , ,"764582", ,"32634", ,"110376","1191","6619","21277","20786","45065", ,"596490","15492", ,"44542","11311","34870", , , , , ,"4790154", ,"4790154"
 , ,"12760", ,"16446", ,"52171","563","1729","7088","13000","17218", ,"261403","2409", ,"16817","12304","6489", , , , , ,"1486666", ,"1486666"
 , ,"8364", ,"7267", ,"19285","208","619","2282","21170","8833", ,"103594", , ,"20453","9766","392", , , , , ,"633538", ,"633538"
 , ,"451", ,"6827", ,"9542","103","704","1149", ,"6887", ,"116747","12", , , ,"1068", , , , , ,"449533", ,"449533"
"1291603", ,"7735409", ,"98340", ,"459925","5706","18111","91368", ,"129357", ,"877716","56806", ,"94539", ,"23238", , , , , ,"26616230", ,"26616230"
 , ,"492642", ,"23962", ,"93980","1014","7290","17988", ,"27249", ,"336019","170", , , ,"16718", , , , , ,"3122230", ,"3122230"
 , ,"2301", ,"13581", ,"27283","294","1866","5222", ,"13924", ,"164978","13314", , , ,"4375", , , , , ,"918177", ,"918177"
 , ,"1826521", ,"10359", ,"64482","710","207","12342", ,"37729", , ,"24631", , , ,"53416", , , , , ,"3428550", ,"3428550"
"1166860", ,"3613694", ,"51592", ,"286488","3277","2961","57883", ,"82944", , ,"16025", , , ,"8638", , , , , ,"10623957", ,"10623957"
"1191880", ,"4891427", ,"22058", ,"129574","1568","471","24801", ,"25901", ,"26224","801", , ,"8718","489", , , , , ,"10946411", ,"10946411"
"119240", ,"788753", ,"9522", ,"63973","690","234","13192", ,"8833", ,"8855","535", , , ,"117", , , , , ,"1982492", ,"1982492"
 , ,"11758", ,"7000", ,"14293","154","3071","2736", ,"9133", , ,"4", , , ,"38978", , , , , ,"895269", ,"895269"
 , ,"462396", ,"8042", ,"21648","314","686","4144", ,"10331", , , , , , ,"1332", , , , , ,"1613350", ,"1613350"
 , ,"172853", ,"6607", ,"30964","334","679","5927", ,"6887", , ,"4719", , , ,"5210", , , , , ,"1006784", ,"1006784"
 , ,"2524139", ,"41618", ,"154731","1712","54","29616", ,"67673", , ,"587", , , ,"83", , , , , ,"6490957", ,"6490957"
 , , , ,"852", ,"842","9", ,"161", ,"1347", , , , , , , , , , , , ,"37908", ,"37908"
 , ,"33361", ,"8742", ,"30117","325","225","5765", ,"12576", , , , , , ,"15131", , , , , ,"1013620", ,"1013620"
 , , , , , , , , , , , , , , , , , , , , , , , ,"14248", ,"14248"
