"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report B000001 ","-------------","-------------","-----------",""
"","","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[563706] Report(B000001)","Entity[563706] Report(B000001[00000])","Entity[563706] Report(B000001[00100])","Entity[563706] Report(B000001[00200])", ,"Entity[563706] Report(B000001[00400])", ,"Entity[563706] Report(B000001[00600])","Entity[563706] Report(B000001[00700])","Entity[563706] Report(B000001[00800])","Entity[563706] Report(B000001[00900])","Entity[563706] Report(B000001[01000])","Entity[563706] Report(B000001[01100])", ,"Entity[563706] Report(B000001[01300])","Entity[563706] Report(B000001[01400])","Entity[563706] Report(B000001[01500])","Entity[563706] Report(B000001[01600])","Entity[563706] Report(B000001[01700])","Entity[563706] Report(B000001[01800])", ,"Entity[563706] Report(B000001[02000])","Entity[563706] Report(B000001[02100])","Entity[563706] Report(B000001[02200])","Entity[563706] Report(B000001[02300])","Entity[563706] Report(B000001[02400])","Entity[563706] Report(B000001[02500])","Entity[563706] Report(B000001[02600])"
"Line(06903)","1", , , ,"42678", , , , , , , , , ,"767", , , , , , , , , ,"164726", ,"164726"
"Line(06904)","175980", ,"7303", ,"25980", ,"221660", , ,"56240", ,"891", , , , ,"992", , , , , , , ,"545520", ,"545520"
"Line(06905)","2582033", ,"375726", ,"394499", , , ,"51538", , ,"12811", ,"73441", , , , ,"34312", , , , , ,"4293131", ,"4293131"
"Line(06907)","1170265", ,"8374", ,"246427", ,"18352","6610", ,"4656", ,"9336", ,"16234", , , , ,"6982", , , , , ,"1650215", ,"1650215"
"Line(07000)","3622351","131628","134126", ,"360508", ,"204308","41772","17906","51838", ,"15032", ,"527","576","7", , ,"2814", , ,"1973950","838949", ,"8123175","-2812899","5310276"
"Line(07001)","187334", ,"2865", ,"20395", , , , , , ,"701", ,"33", , , , , , , , , , ,"229061", ,"229061"
"Line(07100)","40045151","41359","7781", , , ,"82758","13125", ,"20998", ,"9904", ,"78384","134324", , , , , , , , , ,"44490332", ,"44490332"
"Line(07200)","110841529", , , , , , , , , , , , , , , , , , , , , , , ,"119920017", ,"119920017"
"Line(07300)","102869933", ,"253771", ,"2546913", ,"48881","17604", ,"12402", ,"75771", , ,"45045","3664603", , , , , , , , ,"122355367", ,"122355367"
"Line(07301)","1828378", , , , , , , , , , , , , , , , , , , , , , , ,"4837735", ,"4837735"
"Line(07400)","947639","73637","9425", ,"157900", ,"64884","23368","7742","16463", , , , ,"6","67", , ,"21259", , , , , ,"1402035", ,"1402035"
"Line(07500)","7390805","387185","112822", ,"1388307", ,"1150351","122871","71714","272265", ,"47886", ,"294739", ,"808","620248","107717","161215", , , , , ,"13995509", ,"13995509"
"Line(07501)","2788721", ,"111274", ,"303663", , , , , , , , ,"49793","29817","20528","277031", , , , , , , ,"3938473", ,"3938473"
"Line(07600)","528000", , , , , , , , , , , , , , , ,"15899", , , , , , , ,"582388", ,"582388"
"Line(07601)","5277985","332204","73849", ,"1015560", ,"292719","105423","51903","74270", ,"30367", ,"175804","29","338", , ,"158323", , , , , ,"8409718", ,"8409718"
"Line(07602)","3651099","646295","377992", ,"533963", ,"569479","205099", ,"144491", ,"21333", ,"90847","174112","314", , , , , , , , ,"7001869", ,"7001869"
"Line(07603)","684131", ,"22199", ,"110737", , , , , , ,"4919", , , ,"328", , ,"40252", , , , , ,"942251", ,"942251"
"Line(07604)","3481572", , , ,"595756", , , , , , , , ,"49465","1102", , , , , , , , , ,"5895324","-1135729","4759595"
"Line(07605)","298685", , , ,"21059", ,"479545", , , , , , ,"170", , , , , , , , , , ,"1509341","-596179","913162"
"Line(07606)","4499947", , , ,"813717", , , , , , , , ,"17115","169", ,"54855", , , , , , , ,"6376628","-596179","5780449"
"Line(07607)","693235", , , ,"139238", , , , , , , , , ,"24", , , , , , , , , ,"1100433", ,"1100433"
"Line(07608)","3630895", , , ,"622336", , , , , , , , ,"23387","384", , , , , , , , , ,"4668249", ,"4668249"
"Line(07609)","545017", , , ,"88948", , , , , , , , ,"7809","7", , , , , , , , , ,"690743", ,"690743"
"Line(07610)","3193547", , , ,"562125", , , , , , , , ,"6829","198", , , , , , , , , ,"4655568","-596179","4059389"
"Line(07612)","2065168", , , ,"287757", , , , , , , , ,"9646","128", , , , , , , , , ,"2552690", ,"2552690"
"Line(07613)","724991", , , ,"129251", , , , , , , , ,"15194","4305", , , , , , , , , ,"1016399", ,"1016399"
"Line(09000)","2705183","97722","47060", ,"545237", ,"1675124","335002","2067","210860", ,"52360", ,"187566","8715","7140","141639", , , , , , , ,"6844772", ,"6844772"
"Line(09001)","1602649", ,"5484", ,"257366", , , , , , ,"8834", ,"28650", ,"15130","14637", , , , , , , ,"2055204", ,"2055204"
"Line(09002)","260236", ,"16176", ,"60316", , , , , , ,"2871", ,"11687","3","11161","7088", , , , , , , ,"393750", ,"393750"
"Line(09003)","7219756", ,"61041", ,"944785", , , ,"32302", , ,"44529", ,"119632","22","38537","81760", ,"44420", , , , , ,"9188587", ,"9188587"
"Line(09004)","709996", ,"4547", ,"118115", , , , , , ,"5077", ,"15303","95","3708","13273", , , , , , , ,"927362", ,"927362"
"Line(09005)","1179143", ,"2742", ,"235494", ,"229879", , ,"58326", ,"9269", ,"35902", ,"2919","12912", , , , , , , ,"1904153", ,"1904153"
"Line(09006)","1672", , , , , , , , , , , , , , , , , , , , , , , ,"1775", ,"1775"
"Line(09007)","1327824","488608","75029", ,"292173", ,"430534","155057","4424","109237", ,"10682", ,"35758", ,"1822","52828", ,"9066", , , , , ,"3148057", ,"3148057"
"Line(09008)","1373790", ,"12848", ,"304344", , , ,"47209", , ,"10416", ,"65990", , , , ,"128805", , , , , ,"3050059", ,"3050059"
"Line(09009)","959348", ,"29564", ,"201722", , , , , , ,"7877", ,"16875", ,"54", , ,"104394", , , , , ,"1688107", ,"1688107"
"Line(09010)","74037761","665000","2814988", ,"2680035", ,"691246","211035","1152","175386", ,"61951", ,"228558","165","3979531","3774929", , , , , , , ,"99418083", ,"99418083"
"Line(09011)","7006921", , , ,"780060", , , , , , , , ,"13743","26", ,"35309", , , , , , , ,"8358926", ,"8358926"
"Line(09012)","418965", , , ,"87571", , , , , , , , ,"25564","144", ,"9399", , , , , , , ,"580359", ,"580359"
"Line(09013)","278235", , , ,"37359", , , , , , , , ,"640","5", , , , , , , , , ,"338885", ,"338885"
"Line(09014)","682139", , , ,"148803", , , , , , , , , ,"24", ,"7950", , , , , , , ,"898474", ,"898474"
"Line(09015)","337534", , , ,"47493", , , , , , , , , ,"7", ,"6267", , , , , , , ,"418650", ,"418650"
"Line(09016)","272642", , , ,"43033", , , , , , , , , ,"31", ,"12693", , , , , , , ,"353637", ,"353637"
"Line(09017)","2280744", , , ,"442730", , , , , , , , ,"5335","710", ,"69547", , , , , , , ,"3560756","-549972","3010784"
"Line(09018)","8360311", , , ,"1526978", , , , , , , , ,"35424","1432", ,"18682", , , , , , , ,"10700579", ,"10700579"
"Line(09019)","6724977", , , ,"1278645", , , , , , , , ,"30942","321", ,"133706", , , , , , , ,"8756368", ,"8756368"
"Line(09020)","1505977", , , ,"238416", , , , , , , , ,"20486","234", , , , , , , , , ,"1888411", ,"1888411"
"Line(09023)","1355307", ,"40357", ,"99087", ,"291589", , ,"73983", ,"5328", ,"17743", ,"64", , ,"5758", , ,"1996924","848714", ,"4888742","-2845638","2043104"
"Line(09024)","84332624", ,"70036", ,"2146271", , , , , , ,"39876", ,"185508", ,"5222629", , , , , , , , ,"99834450", ,"99834450"
