"----------"," Entity 553807"," Report B000001 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","FOR COST","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","","","","NON-","","INTERNS &","INTERNS &","","","RESIDENT ",""
"","","ALLOCATION"," "," ","","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","COST CENTER DESCRIPTIONS","(from Wkst.","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","A col. 7)","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","4","4A","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B000001[00000])","Entity[553807] Report(B000001[00100])","Entity[553807] Report(B000001[00200])", ,"Entity[553807] Report(B000001[00400])", ,"Entity[553807] Report(B000001[00600])","Entity[553807] Report(B000001[00700])","Entity[553807] Report(B000001[00800])","Entity[553807] Report(B000001[00900])", ,"Entity[553807] Report(B000001[01100])", , , , ,"Entity[553807] Report(B000001[01600])","Entity[553807] Report(B000001[01700])", , , ,"Entity[553807] Report(B000001[02100])", ,"Entity[553807] Report(B000001[02300])","Entity[553807] Report(B000001[02400])","Entity[553807] Report(B000001[02500])","Entity[553807] Report(B000001[02600])"
"","","NEW CAPITAL"," "," ","SUBTOTAL","","ADMINIS-","MAIN-","","","","","LAUNDRY","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","","","","OTHER","PHYSICIAN","","RESIDENTS","RESIDENTS","PARAMEDICAL","","COST & POST",""
"","COST CENTER DESCRIPTIONS","RELATED","BLDGS. &","MOVABLE","(sum of","EMPLOYEE","TRATIVE &","TENANCE &","OPERATION","","","COST CENTER DESCRIPTIONS","& LINEN","HOUSE-"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","","","COST CENTER DESCRIPTIONS","GENERAL","ANES-","NURSING","SALARY AND","PROGRAM","EDUCATION","","STEPDOWN",""
"","","COSTS","FIXTURES","EQUIPMENT","(cols. 0-2)","BENEFITS","GENERAL","REPAIRS","OF PLANT","","","","SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","","","","SERVICE","THETISTS","SCHOOL","FRINGES","COSTS","(SPECIFY)","SUBTOTAL"," ADJUSTMENTS","TOTAL"
"","","0","1","2","2A","4","5","6","7","","","","8","9","10","11","12","13","14","15","16","17","","","","18","19","20","21","22","23","24","25","26"
"Entity[553807] Report(B000002[00000])","Entity[553807] Report(B000002[00100])","Entity[553807] Report(B000002[00200])", ,"Entity[553807] Report(B000002[00400])", ,"Entity[553807] Report(B000002[00600])","Entity[553807] Report(B000002[00700])","Entity[553807] Report(B000002[00800])","Entity[553807] Report(B000002[00900])", ,"Entity[553807] Report(B000002[01100])", , , , ,"Entity[553807] Report(B000002[01600])","Entity[553807] Report(B000002[01700])", , , ,"Entity[553807] Report(B000002[02100])", ,"Entity[553807] Report(B000002[02300])","Entity[553807] Report(B000002[02400])", ,"Entity[553807] Report(B000002[02600])"
"35606", ,"4466", ,"40072", , , , , , , , , , , , , , , 
 ,"43804","10493", ,"101", , , , , , , , , , , , , , , 
"11507", ,"6845", ,"67", , , , , , , , , , , , , , , 
"321961","32913","26182", ,"413", , , , , , , , , , , , , , , 
"3882011","1454105","10683854", ,"2254", , , , , , , , , , , , , , , 
 , ,"299098", , , ,"455382", , , , , , , , , , , , , 
 ,"109286","54478", , , ,"1890","472673", , , , , , , , , , , , 
 ,"30554","317", ,"31", ,"528","551","40726", , , , , , , , , , , 
 ,"142225","98457", ,"826", ,"2459","2563","2368","512187", , , , , , , , , , 
"21379","502041","61506", ,"324", ,"8681","9049", , , , , , , , , , , , 
"6039","511899","21184", ,"132", ,"8852","9226","55","5933", ,"593240", , , , , , , , 
"728884","5141","100903", ,"248", ,"89","93", ,"1319", ,"6796", , , , ,"927130", , , 
"9909","154892","16722", ,"331", ,"2678","2792", , , ,"6138", , , , , ,"280700", , 
"9589","301622","61069", ,"406", ,"5216","5436", , , ,"12100", , , , , , , , 
"3088812","634329","263392", ,"1171", ,"10969","11433", ,"4580", ,"19375", , , , , , , , 
"77333","260362","1200797", ,"631", ,"4502","4693", , , ,"10309", , , , , , , , 
"429","86363","14655", ,"249", ,"1493","1557", , , ,"8429", , , , , , , , 
"10544","74279","494001", ,"167", ,"1284","1339", , , ,"2788", , , , , , , , 
"1652","237678","34130", ,"3015", ,"4110","4284", , , ,"58550", , , , , , , , , ,"1165472"
 , , , ,"1891", , , , , , ,"6947", , , , , , , , 
 ,"42850","1652", ,"53", ,"741","772", , , ,"983", , , , , , , , , , , ,"58340"
 ,"13197","2268", ,"27", ,"228","238","8", , ,"638", , , , , , , , 
"494186","5193252","958571", ,"4985", ,"89802","93598","12042","175202", ,"85663", , , , ,"264696","138244", , , , , , ,"10237555", ,"10237555"
"95075","1970191","625158", ,"1813", ,"34069","35510","2477","34039", ,"29887", , , , ,"39588", , , , , , , ,"3783477", ,"3783477"
"26261","451612","219477", ,"497", ,"7809","8140","546","7040", ,"7563", , , , ,"9364", , , , , , , ,"950880", ,"950880"
"66338","627254","166890", ,"577", ,"10847","11305","1016","6373", ,"9737", , , , ,"11682", , , , , , , ,"1212860", ,"1212860"
"10187","364904","443658", ,"1117", ,"6310","6577","1204","17366", ,"16769", , , , ,"30224","9375", , , , , , ,"1430392", ,"1430392"
"2946","1052630","80920", ,"879", ,"18202","18972","696","49276", ,"14116", , , , ,"38383","33937", , , , , , ,"1744151", ,"1744151"
"35553","176755","51222", ,"153", ,"3056","3186","492","10484", ,"2921", , , , ,"8808","674", , , , , , ,"411814", ,"411814"
 ,"162100", , ,"116", ,"2803","2922","501","2574", ,"2082", , , , ,"9828", , , , , , , ,"240924", ,"240924"
"302047","1390743","4720034", ,"1388", ,"24049","25066","5279", , ,"20313", , , , , , , , , , , , ,"8055299", ,"8055299"
"385","59095","187251", ,"341", ,"1022","1065","296", , ,"6059", , , , , , , , , , , , ,"407319", ,"407319"
"67","280449","122935", ,"199", ,"4850","5055","1208","10637", ,"3627", , , , , , , , , , , , ,"555056", ,"555056"
 ,"115460","723972", ,"82", ,"1997","2081", , , ,"717", , , , , , , , , , , , ,"944664", ,"944664"
"447171","719261","1993064", ,"775", ,"12438","12964","853","13181", ,"14972", , , , , , , , , , , , ,"3740055", ,"3740055"
"15294","730656","1411987", ,"602", ,"12635","13169","338", , ,"5924", , , , , , , , , , , , ,"2405233", ,"2405233"
"12055","199836","861261", ,"275", ,"3456","3602","762", , ,"5035", , , , , , , , , , , , ,"1222790", ,"1222790"
"13785","210356","869597", ,"206", ,"3638","3791","313","9555", ,"3428", , , , , , , , , , , , ,"1219050", ,"1219050"
"1711139","975542","1248973", ,"2628", ,"16869","17583","54","3957", ,"52230", , , , , , , , , , , , ,"5180650", ,"5180650"
 ,"85012","44082", ,"168", ,"1470","1532", , , ,"3008", , , , , , , , , , , , ,"329659", ,"329659"
"90505","81461","361060", ,"395", ,"1409","1468", , , ,"7095", , , , , , , , , , , , ,"752585", ,"752585"
"218762", ,"24436", ,"200", , , ,"6", , ,"3626", , , , , , , , , , , , ,"311470", ,"311470"
"97698","20484","22482", ,"190", ,"354","369", , , ,"2625", , , , , , , , , , , , ,"204587", ,"204587"
"937","24989","25431", ,"34", ,"432","450", , , ,"772", , , , , , , , , , , , ,"66502", ,"66502"
"47403","55756","87771", ,"123", ,"964","1005", , , ,"1469", , , , , , , , , , , , ,"226081", ,"226081"
 , , , , , , , , , , , , , , , , , , , , , , , ,"611602", ,"611602"
